./main.o data_image.txt query_image.txt 10 0.5 1
Pre processing Time: 129 ms
a: 408 , b: 262 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575512 b1:-102400 b2:1091575511 theta: 264117.999994
a: 408 , b: 263 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575516 b1:-102400 b2:1091575515 theta: 264118.999994
a: 408 , b: 264 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575520 b1:-102400 b2:1091575519 theta: 264119.999994
a: 408 , b: 265 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575524 b1:-102400 b2:1091575523 theta: 264120.999994
a: 408 , b: 266 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575528 b1:-102400 b2:1091575527 theta: 264121.999994
a: 408 , b: 267 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575532 b1:-102400 b2:1091575531 theta: 264122.999994
a: 408 , b: 268 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575536 b1:-102400 b2:1091575535 theta: 264123.999994
a: 408 , b: 269 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575540 b1:-102400 b2:1091575539 theta: 264124.999994
a: 408 , b: 270 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575544 b1:-102400 b2:1091575543 theta: 264125.999994
a: 408 , b: 271 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575548 b1:-102400 b2:1091575547 theta: 264126.999994
a: 408 , b: 272 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575552 b1:-102400 b2:1091575551 theta: 264127.999994
a: 408 , b: 273 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575556 b1:-102400 b2:1091575555 theta: 264128.999994
